ID-datalake,nct_id,brief_title,phase,phase_int,phase_numeric,trial_type,recruitment_status,start_date,completion_date,primary_completion_date,start_year,trial_duration_days,enrollment,enrollment_type,flag_date_inconsistency,flag_missing_enrollment_type,flag_estimated_enrollment_on_completed,indications,primary_indication,broad_category,interventions_drugs_clean,intervention_categories,has_drug,main_technologies,primary_technology,target_abbreviations,primary_target,drugs_datalake
43844,NCT04566380,ONO-4538 Phase II Rollover Study (ONO-4538-98),PHASE2,2.0,2.0,standard,RECRUITING,2020-09-10,2026-12-31,2026-12-31,2020.0,2303.0,59.0,ESTIMATED,False,False,False,['Pan-tumor'],Pan-tumor,Other Cancer,"['Nivolumab', 'Oxaliplatin', 'Gimeracil/oteracil/tegafur', 'Capecitabine', 'Bevacizumab', 'Temozolomide']","['drug', 'drug', 'drug', 'drug', 'drug', 'drug']",True,"[['Antibody'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule'], ['Antibody'], ['Small Molecule']]",Antibody,"[['PD-1'], ['DNA'], ['TYMS'], ['TYMS'], ['VEGF-A'], ['DNA']]",PD-1,"['B714', 'B1229', 'B2855', 'B474', 'B167', 'B2056']"
43094,NCT04459663,JS001 Combination Therapy in NSCLC Negative Driving Gene After First-line Chemotherapy.,PHASE2,2.0,2.0,standard,UNKNOWN,2020-08-31,2023-12-31,2023-09-30,2020.0,1217.0,50.0,ESTIMATED,False,False,False,['Non-Small Cell Lung Cancer'],Non-Small Cell Lung Cancer,Lung Cancer,"['Toripalimab', 'Axitinib']","['drug', 'drug']",True,"[['Antibody'], ['Small Molecule']]",Antibody,"[['PD-1'], ['Protein-tyrosine kinases', 'VEGFR1', 'VEGFR2', 'VEGFR3']]",PD-1,"['B1346', 'B262']"
43454,NCT04512417,A Clinical Study Of Camrelizumab With Or Without Radiotherapy In The Treatment Of Esophageal Cancer,PHASE2,2.0,2.0,standard,UNKNOWN,2020-08-31,2022-08-31,2021-08-31,2020.0,730.0,63.0,ESTIMATED,False,False,False,['Esophageal Cancer'],Esophageal Cancer,Esophageal Cancer,"['Camrelizumab', 'Radiation Therapy']","['drug', 'radiation']",True,[['Antibody']],Antibody,[['PD-1']],PD-1,['B1309']
42680,NCT04398108,A Study to Evaluate the Pharmacokinetics of Margetuximab in Chinese Patients With HER2+ MBC,PHASE1,1.0,1.0,standard,COMPLETED,2020-08-25,2021-04-27,2021-04-27,2020.0,245.0,16.0,ACTUAL,False,False,False,['HER2-Positive Breast Cancer'],HER2-Positive Breast Cancer,Breast Cancer,"['Margetuximab', 'Capecitabine', 'Vinorelbine', 'Gemcitabine']","['drug', 'drug', 'drug', 'drug']",True,"[['Antibody'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]",Antibody,"[['HER2'], ['TYMS'], ['TUBB1'], ['DNA', 'RNR']]",HER2,"['B836', 'B474', 'B1929', 'B2079']"
41313,NCT04189107,"Postoperative Pain, Why Still in Hospital and DAOH Following TORS for SCCUP & OSAS",PHASE3,3.0,3.0,standard,COMPLETED,2020-08-18,2022-11-09,2022-11-09,2020.0,813.0,18.0,ACTUAL,False,False,False,"['Analgesia', 'Surgery', 'Head and Neck Neoplasm', 'Oropharyngeal Cancer', 'Carcinoma of Unknown Primary', 'Pain, Postoperative', 'Postoperative Pain']",Analgesia,Other Cancer,"['Dexamethasone', 'Placebo']","['drug', 'placebo']",True,[['Small Molecule']],Small Molecule,[['GR']],GR,['B1128']
42401,NCT04344158,A Phase III Clinical Trial of AK105 Injection Combined With Anlotinib Hydrochloride Capsules Versus Sorafenib in Subjects With Advanced Hepatocellular Carcinoma (HCC),PHASE3,3.0,3.0,standard,ACTIVE_NOT_RECRUITING,2020-08-11,2026-12-31,2026-12-31,2020.0,2333.0,648.0,ESTIMATED,False,False,False,['Hepatocellular Carcinoma'],Hepatocellular Carcinoma,Liver Cancer,"['Penpulimab', 'Catequentinib', 'Sorafenib']","['drug', 'drug', 'drug']",True,"[['Antibody'], [], []]",Antibody,"[['PD-1'], [], []]",PD-1,"['B1279', 'B9013', 'B8463']"
42926,NCT04435197,Pre-Operative Pembrolizumab + Chemoradiation in Patients With Locally Advanced Esophageal Squamous Cell Carcinoma,PHASE2,2.0,2.0,standard,COMPLETED,2020-08-11,2024-06-30,2024-06-30,2020.0,1419.0,143.0,ACTUAL,False,False,False,['Esophageal Cancer'],Esophageal Cancer,Esophageal Cancer,['Pembrolizumab'],['drug'],True,[['Antibody']],Antibody,[['PD-1']],PD-1,['B936']
50520,NCT05513612,Novel CAR-T Cell Therapy in the Treatment of Hematopoietic and Lymphoid Malignancies,PHASE1,1.0,1.0,standard,WITHDRAWN,2020-08-01,2026-12-31,2025-12-31,2020.0,2343.0,0.0,ACTUAL,False,False,False,"['Acute Myeloid Leukemia', 'B-Cell Non-Hodgkin Lymphoma', 'Multiple Myeloma', 'Adult T-Cell Leukemia/Lymphoma', 'Acute Lymphoblastic Leukemia']",Acute Myeloid Leukemia,Leukemia,"['Autologous CAR-T Cells', 'Fludarabine', 'Cyclophosphamide']","['drug', 'drug', 'drug']",True,"[['Small Molecule'], ['Small Molecule']]",Small Molecule,"[['DNA polymerase III', 'RNR', 'RNA polymerase II'], ['DNA']]",DNA polymerase III,"['B346', 'B2818']"
43309,NCT04493125,Effect of Mosapride Citrate on Gastrointestinal Motility After Laparoscopic Gastrectomy,,,,non_standard,COMPLETED,2020-07-27,2021-03-30,2021-03-30,2020.0,246.0,104.0,ACTUAL,False,False,False,['Gastric Cancer'],Gastric Cancer,Gastric Cancer,"['Mosapride', 'Placebo']","['drug', 'placebo']",True,[],Unknown,[],Unknown,[]
42560,NCT04379739,Neoadjuvant PD-1 Antibody Plus Apatinib or Chemotherapy for Non-small Cell Lung Cancer,PHASE2,2.0,2.0,standard,ACTIVE_NOT_RECRUITING,2020-07-26,2026-12-30,2022-06-29,2020.0,2348.0,89.0,ACTUAL,False,False,False,['Non-Small Cell Lung Cancer'],Non-Small Cell Lung Cancer,Lung Cancer,['Camrelizumab'],['drug'],True,[['Antibody']],Antibody,[['PD-1']],PD-1,['B1309']
43148,NCT04469075,Clindamycin and Triamcinolone in People With Glioblastoma to Prevent Skin-Related Side Effects of Tumor Treating Fields,PHASE2,2.0,2.0,standard,RECRUITING,2020-07-09,2025-07-31,2025-07-31,2020.0,1848.0,58.0,ESTIMATED,False,False,False,"['Glioblastoma', 'Glioblastoma', 'Skin Toxicity']",Glioblastoma,Brain Cancer,"['clindamycin phosphate', 'triamcinolone acetonide']","['drug', 'drug']",True,"[[], []]",Unknown,"[[], []]",Unknown,"['B8613', 'B8506']"
42916,NCT04433221,Combination Immunotherapy Targeting Sarcomas,PHASE1/PHASE2,1.5,2.0,standard,UNKNOWN,2020-07-01,2023-12-31,2023-05-31,2020.0,1278.0,20.0,ESTIMATED,False,False,False,"['Sarcoma', 'Osteoid Sarcoma', 'Ewing Sarcoma']",Sarcoma,Sarcoma,"['Multiple sarcoma-specific CAR-T cells - Shenzhen Geno-Immune Medical Institute', 'sarcoma vaccines - Shenzhen Geno-Immune Medical Institute']","['drug', 'drug']",True,"[[], []]",Unknown,"[[], []]",Unknown,"['B12022', 'B12023']"
60752,NCT06540937,Phase II Clinical Study of Leflunomide in the Treatment of MEN-1 Neuroendocrine Tumor,PHASE2,2.0,2.0,standard,RECRUITING,2020-07-01,2024-12-30,2024-12-30,2020.0,1643.0,50.0,ESTIMATED,False,False,False,['Neuroendocrine Tumors'],Neuroendocrine Tumors,Neuroendocrine Cancer,['Leflunomide'],['drug'],True,[['Small Molecule']],Small Molecule,[['DHODH']],DHODH,['B2103']
